hour,P_solar_av_MW,P_solar_use_MW,Pd_MW,P_curt_RES_MW
1,0.0,0.0,5.0,0.0
2,0.0,0.0,10.0,0.0
3,0.0,0.0,15.0,0.0
4,0.0,0.0,20.0,0.0
5,0.0,0.0,15.0,0.0
6,0.0,0.0,30.0,0.0
7,20.0,17.000000000000128,35.0,2.999999999999872
8,40.0,40.0,25.0,0.0
9,60.0,22.000000000000185,20.0,37.999999999999815
10,70.0,19.0000000000003,25.0,50.9999999999997
11,80.0,46.000000000000334,20.0,33.999999999999666
12,90.0,49.00000000000036,30.0,40.99999999999964
13,100.0,57.00000000000019,20.0,42.99999999999981
14,90.0,75.0,30.0,15.0
15,80.0,37.00000000000019,25.0,42.99999999999981
16,60.0,21.0000000000013,20.0,38.9999999999987
17,40.0,0.0,20.0,40.0
18,20.0,12.00000000000127,20.0,7.99999999999873
19,0.0,0.0,30.0,0.0
20,0.0,0.0,30.0,0.0
21,0.0,0.0,25.0,0.0
22,0.0,0.0,25.0,0.0
23,0.0,0.0,15.0,0.0
24,0.0,0.0,10.0,0.0
