Flow_Lhour_MW,Flow_L1_MW,Flow_L2_MW,Flow_L3_MW
1,-10.000000000000997,5.0000000000009965,15.000000000001995
2,-11.666666666666666,1.666666666666667,13.333333333333334
3,-13.333333333333334,-1.6666666666666652,11.66666666666667
4,-11.666666666666666,-8.333333333333332,3.333333333333334
5,-16.666666666666664,1.666666666666549,18.333333333333215
6,-21.666666666666668,-8.333333333333332,13.333333333333336
7,-16.666666666666664,1.66666666666666,18.333333333333325
8,1.6666666666666843,13.333333333333341,11.666666666666659
9,21.666666666666664,18.33333333333333,-3.333333333333335
10,24.999999999999996,19.999999999999996,-4.999999999999999
11,30.0,30.0,0.0
12,26.666666666666668,28.333333333333332,1.666666666666667
13,14.999999999999991,29.999999999999993,15.000000000000002
14,14.999999999999996,30.0,15.000000000000002
15,3.33333333333333,16.666666666666664,13.333333333333334
16,21.666666666666664,18.33333333333333,-3.333333333333335
17,15.0,4.999999999999999,-10.0
18,5.000000000000002,-4.999999999999998,-10.0
19,-18.33333333333294,-11.666666666667059,6.666666666665884
20,-23.333333333333332,-6.666666666666665,16.666666666666664
21,-20.000000000000004,-4.999999999999997,15.000000000000007
22,-19.999999999999964,-5.0000000000000355,14.99999999999993
23,-9.999999999999996,-5.000000000000003,4.999999999999994
24,-3.3333333333332966,-6.666666666666704,-3.3333333333334068
