hour,tech,Pg,Ng
1,CC,0.0,0
1,Nuclear,6300.7,7
1,CR,0.0,0
1,Biomasa,0.0,0
2,CC,0.0,0
2,Nuclear,6301.4,7
2,CR,5940.0,99
2,Biomasa,1060.8,48
3,CC,8161.0,16
3,Nuclear,6302.1,7
3,CR,5890.5,99
3,Biomasa,1046.4,48
4,CC,8151.4,16
4,Nuclear,6302.8,7
4,CR,5781.5,98
4,Biomasa,988.4,46
5,CC,9092.5,18
5,Nuclear,6303.5,7
5,CR,5673.0,97
5,Biomasa,931.0,44
6,CC,11440.0,22
6,Nuclear,6304.2,7
6,CR,5521.8,95
6,Biomasa,884.0,40
7,CC,14658.1,29
7,Nuclear,6304.9,7
7,CR,5295.8,92
7,Biomasa,741.2,34
8,CC,17629.1,34
8,Nuclear,6305.6,7
8,CR,4952.3,87
8,Biomasa,513.0,24
9,CC,19603.9,38
9,Nuclear,6306.3,7
9,CR,4432.8,79
9,Biomasa,157.0,8
10,CC,20673.2,40
10,Nuclear,6307.0,7
10,CR,3619.8,66
10,Biomasa,0.0,0
11,CC,21737.2,42
11,Nuclear,6307.7,7
11,CR,2655.1,45
11,Biomasa,0.0,0
12,CC,23703.5,46
12,Nuclear,6308.4,7
12,CR,788.1,14
12,Biomasa,0.0,0
13,CC,23920.0,46
13,Nuclear,6309.1,7
13,CR,970.9,17
13,Biomasa,0.0,0
14,CC,23920.0,46
14,Nuclear,6309.8,7
14,CR,1020.0,17
14,Biomasa,0.0,0
15,CC,23920.0,46
15,Nuclear,6310.5,7
15,CR,1369.5,23
15,Biomasa,0.0,0
16,CC,23920.0,46
16,Nuclear,6311.2,7
16,CR,2168.8,37
16,Biomasa,0.0,0
17,CC,23920.0,46
17,Nuclear,6311.9,7
17,CR,3268.1,55
17,Biomasa,0.0,0
18,CC,23920.0,46
18,Nuclear,6312.6,7
18,CR,4860.0,81
18,Biomasa,307.4,14
19,CC,23920.0,46
19,Nuclear,6313.3,7
19,CR,4860.0,81
19,Biomasa,706.7,32
20,CC,23379.8,45
20,Nuclear,6314.0,7
20,CR,3720.0,62
20,Biomasa,486.2,22
21,CC,22833.4,44
21,Nuclear,6313.3,7
21,CR,2558.5,43
21,Biomasa,87.2,4
22,CC,22287.6,43
22,Nuclear,6312.6,7
22,CR,276.0,5
22,Biomasa,0.0,0
23,CC,21223.0,41
23,Nuclear,6311.9,7
23,CR,0.0,0
23,Biomasa,0.0,0
24,CC,19640.2,38
24,Nuclear,6311.2,7
24,CR,0.0,0
24,Biomasa,0.0,0
